Invoice,Amount
5867042-PP,3.98
5869338-PP,-1861.19
5869339-PP,29.99
5869340-PP,-104.41
5869341-PP,1.3
5869342-PP,-25.15
5869343-PP,0.11
5871674-PP,-1511.26
5871675-PP,29.45
5871676-PP,-1031.09
5871677-PP,17.17
5874123-PP,-1975.83
5874124-PP,33.61
5874125-PP,-1151.04
5874126-PP,18.69
W266084-IN,134.04
0121824-PP,-481.25
PP0524-PP,-224.5
W263742-IN,100.7
W263743-IN,75.39
PB0825-PP,-1045.58
PB2025-PP,-904.42
0887279-IN,331.66
0888088-IN,413.47
W266195-IN,70
PB0923-PP,-1392
S339680-IN,87.85
SEP0012-FC,0.45
PB1025-PP,-1170
SEP0013-FC,1.55
W257825-IN,103.65
0886759-IN,860.49
SEP0014-FC,1.51
0070125-PP,-45
0080425-PP,-45
0090225-PP,-45
0100325-PP,-45
0061724-PP,-201.02
S064169-IN,338.87
S036622-IN,189.72
S049412-IN,263.81
S049587-IN,1314.24
0091925-PP,-25
PB0924-PP,-1385.82
PB0925-PP,-975
W263260-IN,74.2
5874063-PP,-968.87
5874064-PP,21.62
W266005-IN,31.46
PB0925-PP,-1365
W262631-IN,89
W263064-IN,79
S346409-IN,539.58
W263754-IN,80.78
0867259-IN,668.45
AUG0013-FC,8.36
SEP0016-FC,8.36
LP0725-PP,-174
LP0825-PP,-174
LP0925-PP,-174
W262633-IN,99
0011325-PP,-257.4
0021225-PP,-304.56
0031125-PP,-267.5
0052925-PP,-109.8
0123124-PP,-300
S071881-IN,168.52
0230351-PP,-300
W262795-IN,99
PRE-PP,-380
PB0924-PP,-995
PB0925-PP,-975
0080525-PP,-17.32
APR0012-FC,1.24
AUG0014-FC,1.24
AUG0016-FC,2.48
DEC0010-FC,1.24
FEB0019-FC,1.24
JAN0014-FC,1.24
JUL0012-FC,1.24
JUN0011-FC,1.24
MAR0018-FC,1.24
MAY0010-FC,1.24
NOV0020-FC,1.24
OCT0015-FC,2.86
SEP0013-FC,1.24
SEP0018-FC,2.48
W222080-IN,99
W254872-IN,99
W266496-IN,70
W266196-IN,74.2
PP1020-PP,-175
PP1120-PP,-175
PP1220-PP,-175
0888991-IN,20150.16
0889250-IN,28192.04
0889315-IN,3424.27
0889389-IN,16618.28
5874149-PP,-893.45
5874150-PP,16.39
5874151-PP,-1017.33
5874152-PP,18.89
5874153-PP,-899.37
5874154-PP,16.25
5874155-PP,-959.71
5874156-PP,16.64
5874157-PP,-877.66
5874158-PP,15.86
5874159-PP,-861.73
5874160-PP,15.59
5874161-PP,-939.81
5874162-PP,15.38
5874163-PP,-17.16
5874164-PP,-0.3
5874184-PP,-859.17
5874185-PP,14.28
5874186-PP,-765.51
5874187-PP,13.28
5874188-PP,-1031.03
5874189-PP,17.53
5874190-PP,-356.29
5874191-PP,7.84
5874192-PP,-636.42
5874193-PP,12.39
5874194-PP,-697.31
5874195-PP,12.94
5874196-PP,-980.15
5874197-PP,14.49
5874198-PP,-920.81
5874199-PP,14.73
5874200-PP,-1031.88
5874201-PP,17.58
5874322-PP,-24.99
5874323-PP,0.09
5874324-PP,-690.44
5874325-PP,13.74
5874326-PP,-527.37
5874327-PP,11.59
5874328-PP,-703.33
5874329-PP,14.42
5874330-PP,-755.97
5874331-PP,13.48
5874332-PP,-12.05
5874333-PP,0.37
5874334-PP,-703.24
5874335-PP,14.47
W266086-IN,129.37
W266088-IN,134.04
W266096-IN,129.37
S050349-IN,819
S344282-IN,218.75
S071857-IN,218.75
FM1024-PP,-1556
W266197-IN,70
0022323-PP,-101.85
AUG0018-FC,14.98
JUL0015-FC,14.98
S036652-IN,344.12
S345713-IN,948.47
W266198-IN,75
AUG0019-FC,399.9
0889573-IN,38369.79
5872994-PP,-190.1
5872995-PP,5.06
5872996-PP,-263.96
5872997-PP,6.22
5872998-PP,-2345.68
5872999-PP,51.81
5873000-PP,-4923.21
5873001-PP,101.27
5873002-PP,-1998.06
5873003-PP,39.95
W265562-IN,-252.98
W265932-IN,-214.25
W265988-IN,-204.71
W266719-IN,-137.42
W266800-IN,-249.44
S050210-IN,191.28
S050338-IN,439.08
S339849-IN,289.62
SEP0020-FC,4.34
S345524-IN,321.72
APR0017-FC,1.5
AUG0020-FC,1.5
DEC0017-FC,1.5
FEB0023-FC,1.5
JAN0018-FC,1.5
JUL0016-FC,1.5
JUN0012-FC,1.5
MAR0023-FC,1.5
MAY0013-FC,1.5
NOV0025-FC,1.5
OCT0018-FC,0.57
SEP0020-FC,0.53
SEP0021-FC,1.5
W227063-IN,75
W230077-IN,75
W264411-IN,95
W264413-IN,75
W266240-IN,75
W266434-IN,100
W265256-IN,490
W225884-IN,167.5
AUG0021-FC,2.38
JUL0017-FC,2.38
S047260-IN,260.67
SEP0022-FC,2.38
0879499-IN,35087.54
0886252-IN,34822.12
DEC0019-FC,363.09
JUL0018-FC,440.16
NOV0026-FC,797.65
SEP0023-FC,452.95
PB0925-PP,-1170
PB0925-PP,-1950
0082625-PP,-10000
0090225-PP,-10000
0091025-PP,-20000
0101425-PP,-15000
0885951-IN,31281.77
S345948-IN,835.4
W263261-IN,217.8
PB-PP,-1000.35
0889010-IN,3309.81
S345888-IN,519.85
CL47778-IN,150.47
LP51225-PP,-401.6
PP1024-PP,-180
0889933-IN,414.41
5873791-PP,-2095.5
5873792-PP,16.77
PP1025-PP,-67.33
S071909-IN,91.2
S071954-IN,309.16
S334620-IN,83.75
S342421-IN,77.37
S343698-IN,85.73
S346290-IN,202.76
PB-PP,-4975
W262654-IN,99
S029792-IN,572.5
0082925-PP,-4.05
5874746-PP,-286.29
5874747-PP,6.44
5874748-PP,-273.24
5874749-PP,6.15
0008435-PP,-1466.65
S344751-IN,1060.85
S344754-IN,1595.93
W263756-IN,1.08
PB09.25-PP,-1170
0082824-PP,-4.04
0090425-PP,-345.6
S342935-IN,345.78
FA0125-PP,-1039
S340513-IN,351.23
SEP0025-FC,5.27
0008263-PP,-1305.21
0827635-IN,332.31
0852139-IN,330.31
DEC0021-FC,4.45
JAN0026-FC,4.45
NOV0033-FC,4.45
S049879-IN,182.36
W266504-IN,4035.04
0889931-IN,2040.12
AUG0025-FC,16.31
S036631-IN,252.42
W262634-IN,179
W258263-IN,95
W265910-IN,73.88
0881233-IN,12704.38
SEP0028-FC,158.8
0877478-IN,2657.91
0887315-IN,1555.04
CL47781-IN,1181.52
0887116-IN,2129.3
0888457-IN,1426.06
AUG0027-FC,14.43
0889322-IN,31264.6
5873754-PP,-1562.49
5873755-PP,29.47
5873756-PP,-1887.07
5873757-PP,33.8
5873758-PP,-1557.13
5873759-PP,29.55
5873760-PP,-1808.49
5873761-PP,34.5
5873762-PP,-1617.57
5873763-PP,30.93
5873764-PP,-1711.62
5873765-PP,31.27
5873766-PP,-1314.73
5873767-PP,25
5873768-PP,-1724.6
5873769-PP,26.32
5873770-PP,-1929.63
5873771-PP,35.09
5873772-PP,-691.13
5873773-PP,12.59
5873774-PP,-460.74
5873775-PP,-7.09
W266071-IN,202.54
S071552-IN,381.84
S071604-IN,441.76
S071838-IN,489.62
S342686-IN,397.32
S344220-IN,569.85
S344305-IN,168.13
S344638-IN,353.72
S344796-IN,787.39
S345429-IN,710
S346129-IN,743.94
S346445-IN,399.16
LP0125-PP,-350
LP0225-PP,-350
LP0325-PP,-350
LP0425-PP,-350
LP0525-PP,-350
LP0625-PP,-350
LP0724-PP,-572
LP0725-PP,-350
LP0824-PP,-310
LP0825-PP,-250
LP0924-PP,-310
LP0925-PP,-250
LP1024-PP,-310
LP1124-PP,-310
LP1224-PP,-350
0859181-IN,1181.87
0859908-IN,1241.32
0864535-IN,355.38
0866315-IN,935.83
0867094-IN,639.53
0870905-IN,353.35
0876502-IN,350.52
0878963-IN,368.68
0878965-IN,1300.43
0879872-IN,1193.76
0880449-IN,488.14
0881222-IN,760.16
0881246-IN,1779.44
0881251-IN,800.96
0881252-IN,800.81
0881253-IN,1198.85
0881336-IN,493.79
0881337-IN,208.14
0881347-IN,351.92
0881348-IN,351.96
0881388-IN,118.02
0881578-IN,793.26
0881585-IN,1200.12
0881586-IN,802.58
0881588-IN,802.73
0881589-IN,476.32
0881626-IN,1246.27
0881627-IN,351.92
0881628-IN,351.92
0881747-IN,308.49
0881750-IN,500.98
0881752-IN,877.56
0881818-IN,1200.12
0881889-IN,351.98
0881890-IN,402.19
0881891-IN,351.96
0881894-IN,351.92
0881895-IN,351.92
0881896-IN,350.52
0881897-IN,350.52
0881898-IN,350.56
0881905-IN,1246.27
0881906-IN,1241.56
0881974-IN,153.97
0882002-IN,1064.8
0882034-IN,878.56
0882108-IN,85.3
0882113-IN,708.7
0882177-IN,486.25
0882180-IN,461.21
0882241-IN,881.03
0882244-IN,710
0882284-IN,649.06
0882286-IN,328.96
0882388-IN,1201.04
0882581-IN,351.92
0882609-IN,832.29
0882721-IN,1140.31
0882907-IN,371.41
0883008-IN,350.52
0883009-IN,350.56
0883010-IN,350.56
0883043-IN,1195.94
0883046-IN,1198.11
0883202-IN,461.21
0883238-IN,108.49
0883321-IN,574.07
0883325-IN,1241.32
0883381-IN,802.85
0883531-IN,666.72
0883533-IN,706.78
0883581-IN,800.93
0883582-IN,395.98
0883583-IN,877.38
0883586-IN,1201.79
0883593-IN,350.58
0883594-IN,83.62
0883595-IN,350.56
0883596-IN,350.56
0883597-IN,350.52
0883598-IN,267.06
0883599-IN,350.58
0883600-IN,350.52
0883601-IN,417.35
0883602-IN,350.52
0883603-IN,350.56
0883604-IN,350.58
0883774-IN,133.03
0883775-IN,707.58
0883778-IN,306.86
0883780-IN,401.81
0883954-IN,801.32
0883955-IN,838.58
0884035-IN,404.72
0884197-IN,262.68
0884431-IN,1198.22
0884556-IN,935.33
0884573-IN,483.23
0884684-IN,879.29
0884686-IN,708.47
0884687-IN,459.28
0884922-IN,306.11
0884946-IN,1241.8
0884990-IN,708.47
0884991-IN,708.6
0884992-IN,708.13
0884993-IN,878.3
0885223-IN,88.16
0885297-IN,350.56
0885298-IN,350.52
0885302-IN,697.25
0885305-IN,485.1
0885306-IN,708.81
0885307-IN,708.67
0885322-IN,1241.32
0885323-IN,350.52
0885379-IN,619.76
0885413-IN,350.52
0885477-IN,496.43
0885479-IN,188.46
0885482-IN,701.62
0885483-IN,620.71
0885610-IN,775.83
0885611-IN,708.6
0885667-IN,104.67
0885866-IN,350.58
0886056-IN,351.98
0886067-IN,274.38
0886068-IN,890.27
0886178-IN,1201.62
0886186-IN,580.99
0886354-IN,805.04
0886360-IN,1203
0886381-IN,402.19
0886461-IN,530.66
0886465-IN,1147.38
0886528-IN,351.92
0886534-IN,485.19
0886631-IN,1246.27
0886632-IN,352.08
0886683-IN,804.89
0886684-IN,614.97
0886732-IN,488.19
0886796-IN,402.19
0886868-IN,191.7
0886933-IN,402.23
0886998-IN,1203.69
0887010-IN,373
0887030-IN,351.92
0887031-IN,402.19
0887095-IN,1146.57
0887096-IN,211.54
0887109-IN,486.34
0887127-IN,710.74
0887129-IN,801.11
0887199-IN,351.92
0887200-IN,352.08
0887239-IN,593.46
0887349-IN,483.18
0887366-IN,803.97
0887372-IN,338.9
0887488-IN,780.36
0887490-IN,843.85
0887517-IN,351.92
0887652-IN,750.99
0887724-IN,425.68
0887726-IN,1146.27
0887741-IN,710.29
0887751-IN,350.56
0887869-IN,500.98
0887871-IN,515.82
0887959-IN,1241.32
0887970-IN,351.29
0887971-IN,350.56
0887997-IN,1202.82
0888076-IN,834.61
0888083-IN,880.45
0888264-IN,1241.32
0888265-IN,350.38
0888266-IN,350.68
0888280-IN,803.54
