Invoice,Amount
JUL0150-FC,2.81
S332035-IN,225.12
SEP0188-FC,2.81
W264410-IN,70
5875149-PP,-1372.91
5875150-PP,24.73
5875151-PP,-1061.85
5875152-PP,21.91
5875153-PP,-1054.34
5875154-PP,19.95
5875155-PP,-1068.09
5875156-PP,21.79
5875157-PP,-946.05
5875158-PP,17.67
5875159-PP,-1396.04
5875160-PP,28.84
5875161-PP,-1319.37
5875162-PP,25.42
5875163-PP,-1010.13
5875164-PP,19.7
5875165-PP,-1328.56
5875166-PP,23.54
W266138-IN,265.12
FA0125-PP,-1000
PP0824-PP,-11.73
S345952-IN,236.34
FM0924-PP,-1969
S048230-IN,201.47
SEP0190-FC,2.52
S050411-IN,819.72
PB0925-PP,-3315
W264583-IN,180
W266235-IN,125
S345365-IN,554.4
W266236-IN,95
FA1224-PP,-1000
NOV0227-FC,0.63
W230169-IN,63.6
APR0166-FC,0.99
AUG0177-FC,0.99
DEC0188-FC,0.99
FEB0204-FC,0.99
JAN0175-FC,0.99
JUL0151-FC,0.99
JUN0138-FC,0.99
MAR0205-FC,0.99
MAY0161-FC,0.99
NOV0228-FC,0.99
OCT0199-FC,0.99
SEP0191-FC,1.98
SEP0215-FC,0.99
W226615-IN,79
W262911-IN,79
PB0925-PP,-1950
W266237-IN,1.06
PP0825-PP,-3.25
PB0925-PP,-1799.85
S049015-IN,613.09
0886619-IN,871.29
0886711-IN,3597.67
0886713-IN,1217.21
0886722-IN,5023.32
0886763-IN,6277.06
0886764-IN,2624.9
0887353-IN,2826.14
0887795-IN,521.14
0888095-IN,1973.23
0888220-IN,10303.09
0888386-IN,7430.16
0888387-IN,1610.14
0888673-IN,33369.48
0888797-IN,2918.4
0888957-IN,3551.54
0888958-IN,612.2
0889399-IN,668.37
0889708-IN,1652.15
0889713-IN,643.49
884789R-DM,2643.18
CASH25-PP,-100
FM1224-PP,-1342
PB91024-PP,-995
0884259-IN,985.2
PB0925-PP,-2925
1.17.24-PP,-184.5
PB0925-PP,-1170
0885784-IN,840.39
W266238-IN,79.5
AUG0179-FC,9
S335238-IN,720
SEP0193-FC,9
0888415-IN,2650.32
FA0125-PP,-961
FA0224-PP,-1095
S343847-IN,259.04
S343848-IN,439.04
S343885-IN,526.4
W262815-IN,129
W266239-IN,100.7
0881438-IN,1010.42
S343716-IN,311.35
S030036-IN,530.42
S050538-IN,471.2
0879701-IN,102.44
S035181-IN,224.07
S050502-IN,342.21
AUG0180-FC,5.69
SEP0194-FC,5.69
W256592-IN,379.39
W266294-IN,85
0874245-IN,259.48
AUG0181-FC,0.22
SEP0195-FC,0.22
S049962-IN,910.82
0000921-PP,-100
0001015-PP,-200
0031325-PP,-200
0071525-PP,-100
0081525-PP,-100
0061225-PP,-1.06
APR0170-FC,2.81
AUG0182-FC,1.11
JUL0153-FC,1.11
JUN0141-FC,5.03
MAR0208-FC,2.19
MAY0164-FC,5.03
S046597-IN,96.59
S050363-IN,79.29
SEP0196-FC,1.11
W262701-IN,99
NOV0233-FC,1.24
W231828-IN,99
AUG0184-FC,0.25
JUL0154-FC,0.25
NSF0989-IN,30
SEP0197-FC,0.25
0889466-IN,777.41
W232173-IN,91.55
S050529-IN,321.64
5873037-PP,-42.17
5873038-PP,1.04
5873039-PP,-2504.7
5873040-PP,55.78
5873041-PP,-4543.68
5873042-PP,106.45
5873043-PP,-2403.34
5873044-PP,59.23
AUG0185-FC,2.58
JUL0155-FC,2.58
JUN0142-FC,2.58
MAY0165-FC,2.58
S035909-IN,206.65
SEP0198-FC,2.58
S328173-IN,387.98
PB0925-PP,-1462.5
S344365-IN,202.14
S324886-IN,308.48
S071904-IN,187.08
0886202-IN,19593.81
0887878-IN,8367.25
0887881-IN,307.51
CL47852-IN,20876.8
S346321-IN,320.89
5875032-PP,-1551.66
5875033-PP,50.43
0083024-PP,-170.24
AUG0187-FC,6.32
S336098-IN,421.08
SEP0199-FC,6.32
5874772-PP,-1089.77
5874773-PP,20.5
5874774-PP,-1129.92
5874775-PP,21.23
5874776-PP,-1075.75
5874777-PP,25.09
5874778-PP,-1115.39
5874779-PP,24.87
5874780-PP,-1299.22
5874781-PP,25.96
5874782-PP,-850.12
5874783-PP,18.91
5874784-PP,-1103.3
5874785-PP,19.95
5874786-PP,-176.33
5874787-PP,2.76
5874788-PP,-1135.15
5874789-PP,24.24
5874790-PP,-107.18
5874791-PP,-0.49
W266116-IN,287.17
S049659-IN,369.26
S049661-IN,464.72
S049664-IN,507.83
PB0925-PP,-675
S071466-IN,437.15
PB0925-PP,-975
S049414-IN,357.24
W266280-IN,95
0879959-IN,1374.41
0879961-IN,2903.67
0881722-IN,3670.98
0881723-IN,2098.15
0883441-IN,5164.73
0883442-IN,2380.54
0883937-IN,7720.19
0885066-IN,6821.74
0885068-IN,2350.4
0886757-IN,1672.78
0886758-IN,2594.16
0888382-IN,1534.93
PB1025-PP,-1950
S050201-IN,536.25
W266299-IN,74.2
PB91224-PP,-3383
AUG0188-FC,1.24
SEP0200-FC,1.24
W254897-IN,99
S050480-IN,877.51
S343587-IN,272.76
S048318-IN,1147.74
SEP0201-FC,14.35
0090524-PP,-10.58
S071781-IN,34.65
5874599-PP,-174.98
5874600-PP,-2.68
5874601-PP,-664.71
5874602-PP,-1.61
5874603-PP,-1453.57
5874604-PP,26.35
5874605-PP,-1623.87
5874606-PP,29.56
5874607-PP,-1976.66
5874608-PP,32.08
5874609-PP,-1508.37
5874610-PP,25.89
5874611-PP,-1368.05
5874612-PP,23.73
5874613-PP,-1541.3
5874614-PP,28.83
5874615-PP,-1597.49
5874616-PP,25.35
5874617-PP,-1903.34
5874618-PP,36.59
5874619-PP,-1647.29
5874620-PP,27.95
5874621-PP,-1443.26
5874622-PP,28.87
5874623-PP,-1475.1
5874624-PP,27.8
5874625-PP,-1496.24
5874626-PP,27.84
5874627-PP,-1375.38
5874628-PP,25.08
5874629-PP,-1798.97
5874630-PP,33.88
5874631-PP,-1414.94
5874632-PP,25.5
5874633-PP,-1564.39
5874634-PP,24.46
5874635-PP,-1472.97
5874636-PP,27.21
5874637-PP,-1834.34
5874638-PP,33.65
5874639-PP,-1759.76
5874640-PP,31.09
5874641-PP,-1477.77
5874642-PP,27.63
5874643-PP,-2076.22
5874644-PP,36.11
5874645-PP,-1522.74
5874646-PP,27.56
5874647-PP,-1609.57
5874648-PP,29.55
5874649-PP,-1182.39
5874650-PP,21.36
5874651-PP,-1383.36
5874652-PP,25.84
5874653-PP,-1832.78
5874654-PP,29.99
5874655-PP,-1705.58
5874656-PP,30.34
5874657-PP,-1737.77
5874658-PP,32.44
5874659-PP,-1603.1
5874660-PP,29.7
5874661-PP,-1524.36
5874662-PP,27.82
5874663-PP,-1843.14
5874664-PP,33.31
5874665-PP,-1519.77
5874666-PP,27.84
5874667-PP,-1834.11
5874668-PP,30.57
5874669-PP,-265.67
5874670-PP,4.3
5874671-PP,-1643.21
5874672-PP,27.24
5874673-PP,-1620.04
5874674-PP,25.71
5874675-PP,-1903.76
5874676-PP,33.74
5874677-PP,-1645.22
5874678-PP,28.76
5874679-PP,-1750.11
5874680-PP,29.71
5874681-PP,25
0889275-IN,26186.94
0889278-IN,31390.8
0889279-IN,20790.01
0889359-IN,31684.27
0889361-IN,25265.44
0889673-IN,9061.98
0889675-IN,31387.1
0889962-IN,23785.22
0889964-IN,31142.88
0890196-IN,31578.95
0890260-IN,16184.26
0890262-IN,10873
0890264-IN,7593.63
0890566-IN,25754.95
5873734-PP,-1200.35
5873735-PP,22.65
5873736-PP,-1366.89
5873737-PP,25.32
5873738-PP,-1124.64
5873739-PP,21.98
5873740-PP,-1440.99
5873741-PP,30.65
5873742-PP,-1704.05
5873743-PP,35.56
5873744-PP,-1523.69
5873745-PP,27.87
5873746-PP,-1434.63
5873747-PP,27.78
5873748-PP,-1325.85
5873749-PP,25.96
5873750-PP,-1065.6
5873751-PP,20.47
5873752-PP,-1525.44
5873753-PP,28.48
5873959-PP,-1199.41
5873960-PP,22.37
5873961-PP,-1206.91
5873962-PP,22.7
5873963-PP,-1313.44
5873964-PP,24.84
5873965-PP,-607.51
5873966-PP,10.78
5873967-PP,-12.06
5873968-PP,-0.1
5873969-PP,-737.04
5873970-PP,16.03
5873971-PP,-784.09
5873972-PP,15.76
5873973-PP,-1200.01
5873974-PP,22.92
5873975-PP,-907.59
5873976-PP,17.82
5873977-PP,-1125.51
5873978-PP,19.76
5873979-PP,-1003.04
5873980-PP,16.54
5873981-PP,-1028.77
5873982-PP,20.11
5873983-PP,-1043.21
5873984-PP,20.32
5873985-PP,-42.8
5873986-PP,0.99
5873987-PP,-796.14
5873988-PP,16.62
5873989-PP,-1063.51
5873990-PP,23.17
5873991-PP,-183.15
5873992-PP,-1.62
5873993-PP,-1479.02
5873994-PP,26.37
5873995-PP,-1108.34
5873996-PP,20.38
5873997-PP,-1090.26
5873998-PP,24.29
5873999-PP,-1409.8
5874000-PP,28.04
5874001-PP,-999.83
5874002-PP,19.35
5874003-PP,-1457.52
5874004-PP,26.24
5874005-PP,-1117.55
5874006-PP,22.25
5874007-PP,-1242.56
5874008-PP,21.61
5874009-PP,-989.26
5874010-PP,19.84
5874011-PP,-956.05
5874012-PP,17.27
5874013-PP,-809.16
5874014-PP,14.34
5874015-PP,-869.93
5874016-PP,19.05
5874017-PP,-1090.51
5874018-PP,22.82
5874019-PP,-1035.39
5874020-PP,22.87
5874021-PP,-1166
5874022-PP,23.84
5874023-PP,-207.37
5874024-PP,4.32
5874025-PP,-741.05
5874026-PP,15.42
5874027-PP,-612.66
5874028-PP,14.12
5874029-PP,-978.68
5874030-PP,20.3
5874031-PP,-28
5874032-PP,-0.24
5874033-PP,-10
5874034-PP,0.17
S346141-IN,800
S346142-IN,666.5
W266070-IN,108.01
W266077-IN,147.41
W266078-IN,124.07
W266079-IN,138.78
W266080-IN,111.91
CL46489-IN,6891.58
CL48233-IN,6800.24
SEP0202-FC,103.37
W264579-IN,95
CL49362-IN,8174.88
PB1025-PP,-4875
PRE-PP,-5000
S050171-IN,374
S050172-IN,776.05
S050173-IN,935
0888712-IN,242.86
0879588-IN,2343.7
0880086-IN,276.12
0881191-IN,3902.3
0881790-IN,469.64
0882772-IN,6094.74
0883568-IN,401.2
0884581-IN,9240.02
0885228-IN,394.12
0886173-IN,5220
0886959-IN,358.72
0887514-IN,5219.05
0888445-IN,384.68
0889491-IN,3810.7
0890120-IN,509.76
0110923-PP,-725.27
S344927-IN,521.32
S345613-IN,207.24
S345899-IN,700.7
AUG0191-FC,9.19
JUL0164-FC,9.19
S046367-IN,735
SEP0203-FC,9.19
PB0925-PP,-4095
0010421-PP,-136
0021522-PP,-136
SEP0204-FC,1.24
S346477-IN,682.74
0081324-PP,-1650
APR0190-FC,0.24
AUG0194-FC,0.24
JUL0166-FC,4.74
JUN0157-FC,0.24
MAY0182-FC,0.24
S322399-IN,297
SEP0205-FC,0.24
S345199-IN,9.72
CL48236-IN,93.37
5873222-PP,-41175.75
5873223-PP,780.6
5873258-PP,27.36
5873259-PP,161.96
5873260-PP,77.56
5873261-PP,21.74
5873262-PP,55.82
5873263-PP,29.07
5873264-PP,62.07
5873265-PP,156.69
5873266-PP,93.55
5873267-PP,74.95
5873268-PP,174.28
5873269-PP,77.71
5873270-PP,72.15
5873271-PP,45.72
5873272-PP,79.78
5873273-PP,20.11
5873274-PP,39.63
5873275-PP,269.4
5873276-PP,103.46
5873277-PP,123.41
5873278-PP,146
5873279-PP,56.85
5873280-PP,183.56
5873281-PP,55.98
5873282-PP,76.7
5873283-PP,166.51
5873284-PP,75.09
5873285-PP,52.65
5873286-PP,55.38
5873287-PP,87.89
5873288-PP,-23.74
5873289-PP,53.07
5873290-PP,-2.9
5873291-PP,-3.98
5873292-PP,-6.57
S064244-IN,147.98
SEP0206-FC,1
W263819-IN,74.2
CL49334-IN,4147.95
JUL0168-FC,149.56
JUN0158-FC,126.45
S071535-IN,2615.01
S333447-IN,845.63
S335820-IN,1689.16
S335824-IN,1901.1
S343822-IN,1740.24
S344609-IN,2111.13
S344610-IN,4384.58
S345603-IN,220.38
S345604-IN,1471.31
S345605-IN,2258.9
S346437-IN,395.37
SEP0207-FC,66.54
0053023-PP,-479.25
APR0192-FC,4.33
AUG0196-FC,4.33
JUL0169-FC,4.33
JUN0159-FC,4.33
MAY0184-FC,4.33
S326732-IN,826.04
S344800-IN,630.58
SEP0208-FC,4.33
0873120-IN,1098.9
0880475-IN,1098.9
AUG0197-FC,20.7
JUL0170-FC,70.22
JUN0160-FC,37.28
S339499-IN,280.33
S342329-IN,208.08
S346390-IN,264.17
SEP0209-FC,40.31
W254086-IN,1
CL49274-IN,424.97
PB0925-PP,-1170
W260115-IN,1650
W260116-IN,220
W260117-IN,220
W260139-IN,220
0888881-IN,23062.82
0889921-IN,20295.66
S050240-IN,42.82
SEP0210-FC,76.33
W260144-IN,6106.25
PB10523-PP,-66.88
W263820-IN,100.7
0889450-IN,4233.29
S345039-IN,659.97
W266297-IN,1
PB09.25-PP,-3490
PB0924-PP,-4975
PB0925-PP,-4875
PB91024-PP,-995
S344645-IN,692.06
P0825-PP,-41.47
PP0925-PP,-100
PB0925-PP,-975
S345273-IN,287.58
S345414-IN,524.6
S345787-IN,395.6
S346000-IN,350.54
S346149-IN,555.39
S346641-IN,447.2
APR0194-FC,14.45
AUG0201-FC,81.63
FEB0231-FC,40.87
JUL0174-FC,76.93
JUN0163-FC,73.97
MAR0224-FC,45.15
MAY0185-FC,73.97
S071503-IN,492.5
S071504-IN,492.7
S071835-IN,493.09
S071957-IN,484.42
S071958-IN,376.27
S344451-IN,311.65
S344452-IN,414.88
S344612-IN,414.29
S344617-IN,276.79
S345635-IN,552.39
W23657C-CM,-25.48
W264021-IN,1
0886754-IN,1750.52
0888654-IN,5476.85
S339083-IN,1127.18
SEP0212-FC,6.18
W266241-IN,74.2
S346491-IN,407.66
0887523-IN,1369.68
AUG0203-FC,4.22
JUL0177-FC,4.22
S046602-IN,360.78
SEP0213-FC,4.22
AUG0205-FC,2.53
S021305-IN,168.7
SEP0214-FC,2.53
W263290-IN,81.01
S346358-IN,537.48
PB0930-PP,-2388
S040292-IN,285
S322373-IN,580
S071802-IN,100.8
AUG0207-FC,1.11
SEP0215-FC,1.11
W254446-IN,74.2
W262704-IN,198
0072425-PP,-611.92
PB-PP,-870
CL49363-IN,2925.22
SEP0216-FC,1.11
W259311-IN,89
0884228-IN,15256.92
0885038-IN,30519.91
0886023-IN,30913.91
0886600-IN,30910.84
0888880-IN,9147.87
0889920-IN,25683.47
W266024-IN,16
W266042-IN,1601.25
AUG0209-FC,1.21
SEP0218-FC,1.21
W254447-IN,80.78
0001041-IN,100
0886182-IN,25468.94
5873226-PP,-3994.35
5873227-PP,97.81
5873296-PP,-4.2
5873297-PP,8.57
5873298-PP,-0.47
5873299-PP,-1.38
W265591-IN,155
W266167-IN,152.96
0814207-IN,31055.53
JUN0171-FC,254.98
0887308-IN,31636.44
AUG0210-FC,400.99
JUL0181-FC,400.99
0888939-IN,22163.27
W266118-IN,170.06
S342910-IN,495.66
S344538-IN,356.24
S345864-IN,642.28
S346633-IN,449.96
0888427-IN,30779.63
0888508-IN,24015.44
0884625-IN,31909.19
0060925-PP,-80.3
0090925-PP,-17.4
W266025-IN,16
PB0925-PP,-1560
S345617-IN,367.07
AUG0211-FC,0.94
SEP0219-FC,0.94
W258305-IN,75
0889283-IN,29442.66
5873376-PP,-1640.05
5873377-PP,27.64
5873378-PP,-1136.17
5873379-PP,20.48
5873380-PP,-1197.92
5873381-PP,20.08
5873382-PP,-878.75
5873383-PP,17.93
5873384-PP,-1198.55
5873385-PP,23.43
5873386-PP,-273.13
5873387-PP,5.01
5873388-PP,-863.98
5873389-PP,17.41
5873390-PP,-35.19
5873391-PP,-0.59
S071864-IN,132.09
W266049-IN,130.79
PB0925-PP,-975
S071751-IN,546.88
5873789-PP,-59.11
5873790-PP,1.63
AUG0212-FC,0.6
SEP0220-FC,0.6
W258308-IN,70
S049455-IN,548.16
SEP0221-FC,6.85
S346527-IN,297.78
0071825-PP,-5.59
PB-PP,-960
PRE-PP,-89
PB0925-PP,-3003
S346427-IN,310.57
0886885-IN,3150.55
0890215-IN,2588.4
S044994-IN,503.47
S050451-IN,701.06
PB0825-PP,-1950
PB0925-PP,-975
PB0925-PP,-975
PB0825-PP,-1365
0063025-PP,-250
S050520-IN,367.28
FM0925-PP,-744
FM1024-PP,-889
APR0201-FC,1.26
AUG0215-FC,1.26
AUG0239-FC,1.26
DEC0226-FC,1.26
FEB0243-FC,1.26
JAN0220-FC,1.26
JUL0186-FC,1.26
JUL0223-FC,1.51
JUN0176-FC,1.26
JUN0245-FC,1.51
MAR0229-FC,1.26
MAY0196-FC,1.26
MAY0234-FC,1.51
NOV0262-FC,1.26
OCT0239-FC,1.26
SEP0222-FC,1.26
SEP0251-FC,1.26
W218155-IN,158
PB0925-PP,-975
SEP0223-FC,14.39
PB0925-PP,-1950
S319057-IN,961.48
SEP0224-FC,8.89
FA1223-PP,-1095
FA1224-PP,-1000
W264414-IN,100.7
PB0925-PP,-1560
5874992-PP,-862.01
5874993-PP,17.63
5874994-PP,-986.39
5874995-PP,17.76
5874996-PP,-659.34
5874997-PP,13.88
5874998-PP,-755.78
5874999-PP,14.5
5875000-PP,-307.03
5875001-PP,6.24
5875002-PP,-945.17
5875003-PP,18.46
W266128-IN,272.83
SEP0225-FC,4.3
0890236-IN,197.02
PB0824-PP,-1592
PB0925-PP,-1950
PB0925-PP,-975
S036619-IN,108.53
0021423-PP,-319.48
PP0925-PP,-85.23
S071677-IN,85.23
S63311-PP,-380.9
VC10.27-PP,-235.2
CASH24-PP,-310.06
PB0925-PP,-975
APR0203-FC,4.68
AUG0217-FC,11.27
FEB0247-FC,4.68
JUL0188-FC,11.27
JUN0179-FC,11.27
MAR0232-FC,4.68
MAY0199-FC,11.27
S034961-IN,374.6
SEP0226-FC,4.68
PB2025-PP,-975
W263080-IN,170
S338020-IN,245.35
SEP0227-FC,3.68
W263829-IN,74.2
FA0123-PP,-1020
FA1123-PP,-1138
FA1224-PP,-1039
W258313-IN,100.7
PB0925-PP,-1950
FM0525-PP,-1761
S346120-IN,320.98
PB82823-PP,-870
SEP0229-FC,0.18
W259319-IN,99
W263831-IN,74.2
PB0925-PP,-4875
S071608-IN,131.78
S341735-IN,280
SEP0230-FC,4.2
W263291-IN,212
S050219-IN,295.02
W263292-IN,196.1
0093025-PP,-91.55
W263833-IN,74.2
AUG0221-FC,1.95
JUL0190-FC,1.95
JUN0182-FC,1.95
MAY0201-FC,1.95
S328632-IN,240
S345110-IN,240.5
SEP0231-FC,1.95
0091124-PP,-925
PB09.25-PP,-975
PB0924-PP,-1592
PB0925-PP,-1560
PP0825-PP,-0.01
W263837-IN,102.32
0091225-PP,-159.6
PP1023-PP,-410.58
W264416-IN,100.7
0889749-IN,580.35
0888649-IN,32510.23
0889198-IN,32730.46
5873167-PP,-20352.18
S346322-IN,463.88
APR0205-FC,4.31
AUG0223-FC,4.31
DEC0230-FC,4.31
FEB0250-FC,4.31
JAN0223-FC,4.31
JUL0191-FC,4.31
JUN0183-FC,4.31
MAR0234-FC,4.31
MAY0202-FC,4.31
NOV0266-FC,4.31
S306926-IN,434.95
SEP0232-FC,4.31
W266452-IN,75
APR0206-FC,27.5
AUG0224-FC,23.06
FEB0251-FC,17.37
MAY0203-FC,27.5
W237859-IN,1
W264585-IN,95
S338761-IN,605.85
SEP0233-FC,6.09
PB1025-PP,-975
APR0207-FC,5.21
AUG0227-FC,5.21
JUL0195-FC,5.21
JUN0186-FC,5.21
MAR0238-FC,5.21
MAY0205-FC,5.21
S321368-IN,416.6
SEP0234-FC,5.21
W264418-IN,70
PB-PP,-695.08
S049362-IN,306.18
W264420-IN,95
AUG0230-FC,9.73
JUL0197-FC,2.39
S337041-IN,489.13
SEP0235-FC,6.47
W266242-IN,95
0889159-IN,29799.56
5875004-PP,-856.27
5875005-PP,16.98
5875006-PP,-644.35
5875007-PP,10.83
5875008-PP,-100.82
5875009-PP,1.12
W266129-IN,226.61
0888937-IN,1401.82
PB-PP,-1990
W262743-IN,89
NSF1034-IN,30
W264422-IN,125
PP0925-PP,-25.38
PB0925-PP,-1566
PB92625-PP,-975
APR0212-FC,24.85
AUG0233-FC,6.1
JUL0199-FC,14.85
JUN0190-FC,14.85
MAR0244-FC,24.85
MAY0208-FC,14.85
S042287-IN,1987.74
SEP0236-FC,6.1
W264424-IN,100.7
W266847-CM,-583.13
W266848-CM,-441.52
W266849-CM,-624.79
W266850-CM,-624.79
W266852-CM,-432.94
W266860-CM,-624.44
5874824-PP,-19.96
5874825-PP,0.39
5874826-PP,-1161.03
5874827-PP,24.38
5874828-PP,-1136.39
5874829-PP,25.94
5874830-PP,-1158.89
5874831-PP,21.58
5874832-PP,-1367.97
5874833-PP,28.15
5874834-PP,-1220.04
5874835-PP,27.64
5874836-PP,-346.64
5874837-PP,6.37
AUG0234-FC,6.44
JUL0200-FC,1.53
S335912-IN,327.21
SEP0237-FC,6.44
W250950-IN,102.32
PB0825-PP,-2925
W265616-IN,65
SEP0238-FC,9.71
W266243-IN,75
0100725-PP,-240.42
S050159-IN,240.42
0888940-IN,3609.31
W263840-IN,1.06
SEP0239-FC,1.11
W258558-IN,74.2
S345538-IN,298.77
W266465-IN,75
SEP0241-FC,1.51
W263842-IN,100.7
CASH23-PP,-290
FM 1124-PP,-2061
W264499-IN,90.1
W266244-IN,100.7
FA0325-PP,-250
APR0215-FC,1.51
AUG0236-FC,1.51
DEC0240-FC,1.51
FEB0261-FC,1.51
JAN0230-FC,1.51
JUL0201-FC,1.51
JUN0191-FC,1.51
MAR0250-FC,1.51
MAY0210-FC,1.51
NOV0275-FC,1.51
SEP0242-FC,1.51
W232236-IN,100.7
AUG0237-FC,1.61
SEP0243-FC,1.61
W259323-IN,129
AUG0238-FC,1.83
JUL0202-FC,1.83
JUN0193-FC,1.83
MAY0212-FC,1.83
S045184-IN,1146.75
SEP0244-FC,1.83
W266812-IN,468
W266245-IN,95
S343706-IN,456.66
W266246-IN,65
PP0124-PP,-400
W264426-IN,85
W266247-IN,95
0002242-PP,-100
LP01.25-PP,-100
LP02.25-PP,-100
LP03.25-PP,-100
LP0324-PP,-450
LP05.24-PP,-150
LP0624-PP,-200
LP0625-PP,-100
LP07.24-PP,-200
LP0725-PP,-10
LP08.25-PP,-50
LP0824-PP,-200
LP09.24-PP,-100
LP09.25-PP,-50
LP1024-PP,-100
LP11.24-PP,-100
LP12.24-PP,-100
LP52025-PP,-100
S343902-IN,81
APR0220-FC,12.53
AUG0239-FC,12.53
JUL0203-FC,12.53
JUN0196-FC,12.53
MAY0216-FC,12.53
S325480-IN,835.38
SEP0245-FC,12.53
W266248-IN,100.7
W266006-IN,32.26
W266858-CM,-103.76
W266249-IN,95
PB0924-PP,-1990
PB0925-PP,-1462.5
0092120-PP,-396.52
FA0124-PP,-1138
FA1224-PP,-1039
AUG0240-FC,4.05
S333578-IN,473.6
SEP0246-FC,1.55
W266250-IN,75
FA0224-PP,-1095
FA1224-PP,-1000
S345652-IN,196.47
PB92525-PP,-1365
0032524-PP,-1
0041824-PP,-1
S345153-IN,476.82
PB0925-PP,-1170
PRE-PP,-410
APR0222-FC,0.38
AUG0242-FC,0.38
JUL0205-FC,0.38
JUN0198-FC,0.38
MAY0218-FC,0.38
S035664-IN,282.96
SEP0247-FC,0.38
0092322-PP,-32.1
FA1122-PP,-1020
0081225-PP,-12.05
SEP0248-FC,1.09
W259325-IN,99
CASH23-PP,-404.71
0879925-IN,99.8
0883077-IN,124.75
0885010-IN,124.75
0887303-IN,126.21
0889142-IN,249.5
CL47873-IN,19222.08
W262714-IN,60
0080522-PP,-946.45
JUL0209-FC,21.72
S337946-IN,1030.01
SEP0250-FC,15.45
0005057-PP,-450
APR0223-FC,1.51
AUG0243-FC,1.51
FEB0272-FC,1.51
JAN0241-FC,1.51
JUL0210-FC,1.51
JUN0203-FC,1.51
MAR0260-FC,1.51
MAY0223-FC,1.51
SEP0251-FC,1.51
W233508-IN,100.7
AUG0244-FC,511.9
W184771-CM,-75.48
5874838-PP,-26.58
5874839-PP,0.6
S343828-IN,482.85
PP0324-PP,-100
S049019-IN,263.07
AUG0246-FC,0.63
SEP0252-FC,0.63
W259572-IN,50
CL49335-IN,60.52
FA1123-PP,-1138
PP0821-PP,-800
PB0925-PP,-2827.5
NSF1032-IN,30
S049787-IN,374
W258559-IN,1.06
PB1025-PP,-5850
0862181-IN,-78.35
0862203-IN,-290.3
0862212-IN,-356.4
PB2025-PP,-975
PREPAY-PP,-6315
0880092-IN,444.81
0881796-IN,260.26
0883588-IN,172.72
0885269-IN,227.14
0885270-IN,312.31
0886970-IN,177.45
0888447-IN,177.45
0888448-IN,319.41
0890125-IN,246.06
AUG0247-FC,13.66
SEP0253-FC,8.48
0889356-IN,39043.49
W231613-IN,100
PB10.25-PP,-975
S050581-IN,883.76
FA0124-PP,-1138
AUG0248-FC,12.27
AUG0249-FC,1.4
S021264-IN,93.09
SEP0254-FC,1.4
PB0925-PP,-1950
PB92925-PP,-3700
CL48822-IN,283.57
NSF1023-IN,30
SEP0255-PP,-2.95
0854040-IN,24748.97
0854041-IN,25000.61
0854042-IN,25234.82
0854045-IN,24808.77
0854046-IN,25047.95
0855598-IN,25237.33
0878323-IN,26513.13
0878324-IN,26294.31
0878325-IN,26491.78
0885491-IN,27126.44
0885492-IN,27093.67
0885493-IN,27677.96
0885495-IN,26993.68
0885496-IN,27272.57
0885497-IN,27280.74
0885498-IN,27491.29
0885501-IN,27299.91
0885502-IN,29252.9
PB0925-PP,-1950
PP1025-PP,-22.32
0882944-IN,1100.96
0889210-IN,22708.62
5873506-PP,-1172.97
5873507-PP,20.38
5873508-PP,-1546.59
5873509-PP,31.29
5873510-PP,-1254.77
5873511-PP,24.47
5873512-PP,-1469.91
5873513-PP,25.1
5873514-PP,-778.29
5873515-PP,12.98
5873516-PP,-19.26
5873517-PP,0.61
5873518-PP,-1406.58
5873519-PP,22.04
5873520-PP,-65.01
5873521-PP,-1.11
W266060-IN,132.51
CL47877-IN,451.81
CL48245-IN,14725.9
SEP0259-FC,1.24
W259327-IN,99
PB0925-PP,-1499.55
S020854-IN,329.13
0884127-IN,165.22
0886616-IN,372.49
0889477-IN,1574.38
W263845-IN,102.32
5874858-PP,-1014.23
5874859-PP,18.73
5874860-PP,-946.55
5874861-PP,18.73
5874862-PP,-151.13
5874863-PP,-3.3
5874864-PP,-962.62
5874865-PP,18.33
5874866-PP,-1235.17
5874867-PP,24.56
5874868-PP,-1314.09
5874869-PP,30.07
5874870-PP,-1105.73
5874871-PP,21.54
5874872-PP,-1255.29
5874873-PP,24.66
5874874-PP,-1176.02
5874875-PP,22.65
5874876-PP,-1139.42
5874877-PP,24.81
5874878-PP,-962.1
5874879-PP,20.3
5874880-PP,-796.28
5874881-PP,18.83
5874882-PP,-888.98
5874883-PP,20.6
5874884-PP,-1157.53
5874885-PP,23.14
5874886-PP,-990.64
5874887-PP,21.47
5874888-PP,-619.53
5874889-PP,14.45
5874890-PP,-677.04
5874891-PP,14.96
5874892-PP,-723.94
5874893-PP,14.84
5874894-PP,-1066.64
5874895-PP,22.08
W266120-IN,193.4
H77681I-IN,163.99
H77734I-IN,4.5
AUG0256-FC,1.99
SEP0261-FC,1.99
W254460-IN,132.5
PP0825-PP,-30.19
S340010-IN,304.56
SEP0262-FC,3.81
S045525-IN,55.83
0864005-IN,32422.5
0865243-IN,33049.49
0867369-IN,33049.49
0888890-IN,31264.22
866754R-DM,32439.65
SEP0263-FC,0.99
0879008-IN,1639.73
0887804-IN,1565.87
0887868-IN,130.13
W260642-IN,654.61
